"TITLE","COMPANY","LOCATION","IS_REMOTE","JOB_URL","SOURCE","SEARCH_TERM","SEARCH_CITY","TECHNICAL_STACK","KEY_RESPONSIBILITIES","REQUIRED_EXPERIENCE","SUCCESS_METRICS","SALARY_RANGE","SALARY_IS_ESTIMATED","SYSTEMS_FIT","RETRIEVAL_INFRA_FIT","ALGORITHMIC_ML_FIT","OVERALL_MATCH","MATCH_REASON","VISA_ANALYSIS"
"Applied Scientist II, SPB Advertiser Guidance","Amazon.com","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=f9e3cf5d5cba99e4","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Curation","Design and build agents for conversational and non-conversational experiences | Implement advanced model and agent optimization techniques | Curate datasets and tools for machine learning processes | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to bring innovations into production","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical and algorithmic background, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, LLM Code Agents, Kiro Science","Amazon Web Services","Santa Clara, CA, US",False,"https://www.indeed.com/viewjob?jk=90fa261c452404ab","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, Machine Learning, Reinforcement Learning, AWS, NLP","Push the boundaries of reinforcement learning and post-training methodologies for large language models | Invent and implement state-of-the-art machine learning solutions | Deploy products that impact the workflows of millions of developers | Publish and present work at premier ML and NLP conferences | Work with customers to transition research breakthroughs into production systems","3+ years in machine learning, N/A","Impact daily workflows of millions of developers","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on advanced machine learning and algorithm development for generative AI, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions ""Must be authorized to work in the US,"" which is standard."
"Applied Scientist I, Amazon","Amazon.com","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=578b7a62c90e1ac8","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Java, C++, Python","Work with scientists and engineers to innovate on customer experience | Design experiments and analyze statistical results | Implement algorithms using various toolkits and self-developed code","","","$129,400 - $212,800",False,"Low","Low","High",85,"This role focuses on improving shopping using large language models, emphasizing algorithmic and statistical analysis, making it a strong match for candidates with a high fit in algorithmic and ML skills.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Engineer II, ML Infra","Amazon.com","San Francisco, CA, US",False,"https://www.indeed.com/viewjob?jk=b9f2951b2be83de2","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, AWS, ECS, Sagemaker, Redshift, DynamoDB, Lambda, SQS, Step Functions","Design and build scalable infrastructure to train, deploy and manage ML models | Develop and automate software for ML workflows | Optimize cost and performance of training and inference workloads | Mentor other engineers on the team or related teams | Contribute to ML infrastructure roadmap planning","3+ years software development, BS in Computer Science or equivalent","Improve products through model-based experiments","$120,000 - $150,000",True,"High","Medium","High",85,"This role is a Software Engineer position focused on building and optimizing ML infrastructure, requiring strong systems and algorithmic skills, making the candidate a strong match.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Dev Engineer, Sponsored Products and Brands Ads Response Prediction","Amazon.com","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=242a7f90ec6b16d9","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Machine Learning, Generative AI, Python, Data Mining, Natural Language Processing","Enhance scalability, automation, and efficiency of training and inference systems | Develop LLM inference infrastructure for GenAI workloads | Collaborate with Applied Scientists to optimize generative AI solutions","2+ years software development, 1+ years full software development life cycle, BS in Computer Science or equivalent","Successfully implement GenAI solutions in production, optimize model performance","$120,000 - $150,000",True,"High","Medium","High",85,"This role is a Software Engineer in Machine Learning, focusing on building and optimizing ML infrastructure, which aligns well with the candidate's strengths in systems and algorithmic ML.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist, Prime Video - Content Understanding, Localization & Enrichment Team","Amazon.com","San Francisco, CA, US",False,"https://www.indeed.com/viewjob?jk=aa8666cf00eb7c78","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Java, C++, Python, machine learning, audio processing, natural language understanding","Drive innovation in machine learning, audio processing, and natural language understanding | Build models for business applications | Collaborate with solution development teams | Mentor and develop applied science talent within the team","3+ years in model building, PhD or Master's with 4+ years in CS, CE, ML or related field","Impact on business through research advancements","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on machine learning and audio processing, where the candidate's strong algorithmic and mathematical background aligns well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist","Amazon.com","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=3d3c2c18a6a20d29","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Engineering","Design and build agents for advertiser guidance | Implement advanced model optimization techniques | Curate datasets and tools for model training | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical and algorithmic background, making the candidate a strong match despite low needs in systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer II, SPB Advertiser Guidance","Amazon.com","Palo Alto, CA, US",False,"https://www.indeed.com/viewjob?jk=25a0ac61a4b919e1","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, LLM deployment frameworks, Reinforcement learning, Distributed systems, Cloud-native development","Implement core services and APIs for agent orchestration and state management | Build scalable, reusable data and tool registry | Develop infrastructure for fine-tuning and reinforcement learning pipelines | Ensure performance, scalability, observability, and maintainability | Participate in system design, code reviews, and architecture discussions","","Impact on advertiser success, improvements in guidance systems","$130,000 - $160,000",True,"High","Medium","Medium",80,"This role is a Software Development Engineer position that emphasizes building scalable systems and infrastructure, making the candidate's strong systems fit a key asset, while also valuing their algorithmic and retrieval skills for enhancing AI-driven advertising solutions.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard language."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","Sunnyvale, CA, US",False,"https://www.indeed.com/viewjob?jk=40c629f8795442eb","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Java, C++, Python, Unix/Linux, Machine Learning, Deep Learning, Data Mining","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Guide and collaborate with teams on scalable page personalization solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist - Recommendation Systems","Amazon.com","Sunnyvale, CA, US",False,"https://www.indeed.com/viewjob?jk=fd9b249307831728","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Java, C++, Python, ML, Unix/Linux","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video Recommendation/Search Science","Amazon.com","Sunnyvale, CA, US",False,"https://www.indeed.com/viewjob?jk=b78cb363ab35b476","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Machine Learning, Deep Learning, Optimization Methods","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Conduct experiments to identify high impact projects | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years in machine learning, experience with recommender systems or search ranking","Impact on millions of customers, effectiveness of recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is for an Applied Scientist focusing on machine learning and recommendation systems, where the candidate's strong algorithmic and mathematical background aligns well with the requirements.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","Sunnyvale, CA, US",False,"https://www.indeed.com/viewjob?jk=b6e7691a6db7611a","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Java, C++, Python, Unix/Linux, deep learning, online learning, optimization methods","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Create experiments to determine high impact projects for planning roadmaps","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions ""Must be authorized to work in the US,"" which is standard."
"Software Development Engineer, AGI","Amazon.com","Sunnyvale, CA, US",False,"https://www.indeed.com/viewjob?jk=8c4fdca9233108d5","indeed","""algorithm engineer"" OR ""applied scientist""","San Francisco, CA","Python, Spark, Java, Scala","Design and build scalable systems for web information processing | Optimize data processing architecture for performance and cost-effectiveness | Implement systems to process content and extract meaning | Develop data pipelines for deploying ML models on large datasets | Collaborate with scientists and engineers to prototype and deploy algorithms","3+ years software development, Bachelor's degree in Computer Science or equivalent","Ensure performance, scalability, resilience, and cost-effectiveness of systems","$129,300 - $223,600",False,"High","Medium","Medium",80,"This role is for a software engineer focused on building scalable systems for generative AI projects, which aligns well with the candidate's strong systems background and relevant experience in data processing and infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Associate","Clever Devices","Woodbury, NY, US",False,"https://www.indeed.com/viewjob?jk=39307cd152e6b6aa","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","New York, NY","Java, JavaScript, jQuery, Struts, XML, JSON, JUnit, SQL Server, JSP","Design, implement, test, and document software systems | Write maintainable, clean, and efficient programming code | Practice Test Driven Development (TDD) and create unit tests | Perform various types of software testing | Participate in code reviews and peer programming","Entry-level, BS in Computer Science or related discipline required","","$70,000 - $90,000",True,"High","Low","Low",80,"This role is for an Associate Software Engineer, focusing on software development and systems design, where the candidate's strong systems fit aligns well with the requirements.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard."
"Associate Software Development Engineer in Test","Flextrade","Great Neck, NY, US",False,"https://www.indeed.com/viewjob?jk=4aabbbd44f514a09","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","New York, NY","Python, C#, Linux, Bash","Write and analyze code | Create and maintain automated test cases | Collaborate with engineering teams to derive testing requirements | Reproduce, debug, and isolate problems | Provide technical guidance and training to junior test personnel","0-2 years as a QA on a software development team, coding experience in Python and C# required","Ensure overall system quality prior to customer release","$70,000 - $90,000",True,"High","Low","Low",80,"This role is primarily focused on quality assurance and testing within a software development team, requiring strong systems knowledge and coding skills, which aligns well with the candidate's strengths in backend systems.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Software Engineer, Prime Video","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=40bf6828cfb79945","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","New York, NY","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle | Optimize existing systems for reliability and scaling","3+ years software development, 2+ years design or architecture, Bachelor's degree in Computer Science or equivalent","Support billions of requests from millions of Prime Video users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is primarily focused on building scalable systems for live streaming, which aligns well with the candidate's strong systems background, while also valuing some algorithmic and retrieval infrastructure skills.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer, Live Sports - Prime Video","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=a31196a95bcec53e","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","New York, NY","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle | Optimize existing systems for reliability and scaling","3+ years software development, 2+ years design or architecture, Bachelor's degree in Computer Science or equivalent","Support billions of requests from millions of users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is primarily focused on building scalable systems for live streaming, which aligns well with the candidate's strong systems background, while also valuing some algorithmic and retrieval infrastructure skills.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer II, Sponsored Products Autonomous Campaigns","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=9bac02dc6ab91565","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, LLM deployment frameworks, Reinforcement learning, Distributed systems, Cloud-native development","Implement core services and APIs for agent orchestration | Build scalable, reusable data and tool registry | Develop infrastructure for fine-tuning and reinforcement learning pipelines | Ensure performance, scalability, observability, and maintainability | Participate in system design and architecture discussions","","Impact on advertiser success, performance improvements in guidance systems","$130,000 - $160,000",True,"High","Medium","High",85,"This role is a Software Development Engineer position that requires strong systems engineering skills and a solid understanding of ML infrastructure, making the candidate a strong match due to their high fit in both systems and algorithmic ML.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist II, Sponsored Products Autonomous Campaigns","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=7718225cc4a19c1d","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, Reinforcement Learning, LLMs, Machine Learning, Data Pipelines","Design and build agents for autonomous campaigns experience | Implement advanced model and agent optimization techniques | Curate datasets and tools for MCP | Build evaluation pipelines for agent workflows | Collaborate with peers to bring scientific innovations into production","3-5 years in applied AI, MS or PhD in Computer Science or related field","Improve advertiser success, Enhance campaign management efficiency","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, making the candidate's strong algorithmic and mathematical background a perfect fit despite low requirements in systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard language."
"Applied Scientist II, SPB Advertiser Guidance","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=1aff25a67544fb95","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Engineering","Design and build agents for advertiser guidance | Implement advanced model optimization techniques | Curate datasets and tools for machine learning processes | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to implement solutions","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical and algorithmic background, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Machine Learning Engineer II, Special Projects","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=f6cc1af8c0e7ae82","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","AI, Machine Learning, Python, Software Development, Data Processing","Design, implement and launch AI solutions end-to-end | Write high-quality, maintainable code following best practices | Own end-to-end deployment of ML models for large scale inference | Build and optimize automated data processing workflows | Contribute to architecture decisions and technical strategy","2+ years software development, 2+ years design or architecture experience, Bachelor's degree in computer science or equivalent","","$129,300 - $223,600",False,"High","Low","Medium",75,"This role is primarily focused on software development and ML model deployment, making the candidate's strong systems fit and decent algorithmic ML skills a good match.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Dev Engineer, Sponsored Products and Brands Ads Response Prediction","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=efc59a14ff2cdc26","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, Machine Learning, Generative AI, LLM, Data Mining, Natural Language Processing","Enhance scalability, automation, and efficiency of training and inference systems | Develop LLM inference infrastructure for GenAI workloads | Partner with Applied Scientists to productionize generative AI solutions","2+ years software development, 1+ years full software development life cycle, BS in Computer Science or equivalent","Successfully implementing GenAI solutions in production, optimizing model performance","$120,000 - $150,000",True,"High","Medium","High",85,"This role is a Software Engineer in Machine Learning, focusing on building and optimizing ML infrastructure, which aligns well with the candidate's strong systems and algorithmic ML skills.","The job description does not specify any restrictions on visa sponsorship and mentions ""Must be authorized to work in the US,"" which is standard."
"Applied Scientist","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=74dcc28d1dee068d","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, Reinforcement Learning, Large Language Models (LLMs), Machine Learning, Data Curation","Design and build agents for advertiser guidance | Implement advanced model optimization techniques | Curate datasets and tools for machine learning processes | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to implement innovations","","Small improvements in guidance systems can have outsized impact on advertiser success","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical and algorithmic background, making the candidate a strong match despite low needs in systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard."
"Software Development Engineer II, SPB Advertiser Guidance","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=604495a9534c38f4","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Python, LLM deployment frameworks, Reinforcement learning, Distributed systems, Cloud-native development","Implement core services and APIs for agent orchestration and state management | Build scalable, reusable data and tool registry | Develop infrastructure for fine-tuning and reinforcement learning pipelines | Ensure performance, scalability, observability, and maintainability | Participate in system design, code reviews, and architecture discussions","","Improve reasoning quality, enhance advertiser outcomes, ensure safety guardrails","$130,000 - $160,000",True,"High","Medium","Medium",80,"This role is a Software Development Engineer position that emphasizes building scalable systems and infrastructure, making the candidate's strong systems fit a key asset, while also valuing some algorithmic and retrieval infrastructure knowledge.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=1773f115aad7da28","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Java, C++, Python, Unix/Linux, Machine Learning, Deep Learning, Data Mining","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Guide and collaborate with teams on scalable page personalization solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations, discovery of niche interests","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions ""Must be authorized to work in the US,"" which is standard."
"Applied Scientist II, Prime Video Recommendation/Search Science","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=407b4aa874742f31","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Machine Learning, Deep Learning, Optimization Methods, Python","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Create experiments to identify high impact projects | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals","3+ years in machine learning, experience with recommender systems or search ranking","Impact on product insights, successful publication of research","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is for an Applied Scientist focusing on machine learning and recommendation systems, where the candidate's strong algorithmic and mathematical background aligns well with the primary requirements.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist II, Prime Video - Personalization and Discovery Science, Personalization and Discovery Science","Amazon.com","New York, NY, US",False,"https://www.indeed.com/viewjob?jk=c979212578326fa2","indeed","""algorithm engineer"" OR ""applied scientist""","New York, NY","Java, C++, Python, ML, Unix/Linux","Develop ML models for recommendation and search systems | Collaborate with scientists, engineers, and product managers on data insights | Stay updated with advancements in modeling techniques | Publish research findings in top conferences and journals | Guide and collaborate with teams on scalable page personalization solutions","3+ years building models for business applications, PhD or Master's degree with 4+ years in CS, CE, ML or related field","High impact projects included in planning roadmaps, effective title recommendations","$130,000 - $160,000",True,"Low","Medium","High",85,"This role is focused on developing ML models for recommendation and search systems, emphasizing algorithmic and mathematical skills, making the candidate a strong match despite lower systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Engineer, Prime Video","Amazon.com","Austin, TX, US",False,"https://www.indeed.com/viewjob?jk=9197dcfb107980f6","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Austin, TX","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle | Ensure reliability and scaling of new and existing systems","3+ years software development, 2+ years design or architecture, BS in Computer Science or equivalent","Support billions of requests from millions of users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is primarily focused on building scalable systems for live streaming, making the candidate's strong systems experience a great fit, while also valuing some algorithmic and retrieval infrastructure knowledge.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer, Live Sports - Prime Video","Amazon.com","Austin, TX, US",False,"https://www.indeed.com/viewjob?jk=283d241e264bf94f","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Austin, TX","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle | Optimize systems for reliability and scaling | Support billions of requests from millions of users","3+ years software development, 2+ years design or architecture, BS in Computer Science or equivalent","Handle billions of requests, support millions of users","$120,000 - $150,000",True,"High","Medium","Medium",80,"This role is for a Software Development Engineer focused on building scalable systems for live streaming, which aligns well with the candidate's strong systems background and some relevant experience in machine learning.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Engineer (entry-level) - BioPharma/MedTech","MP-HR","Lexington, MA, US",False,"https://www.indeed.com/viewjob?jk=54b3934d990a4192","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Boston, MA","C++, C#, Java, JavaScript, jQuery, HTML, CSS, XML, Git","Maintain and enhance the platform and its extensions through design specifications, coding, debugging, configuration, documentation, and testing | Engage as a member of the Agile team, including updating sprint tasks and attending scrums | Execute best practices and procedures defined for software development","Entry-level, Bachelor's degree in computer science, experience with object-oriented languages and web scripting languages","","$80,000 - $100,000",False,"High","Low","Low",80,"This role is a Software Engineer position focusing on backend development and system design, which aligns well with the candidate's strong systems fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Engineer II","Analogic Corporation","Salem, NH, US",False,"https://www.indeed.com/viewjob?jk=497910a97250d501","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Boston, MA","Java, Python, Terraform, CloudFormation, Ansible, GitLab, Docker, AWS, MQTT","Design, develop, and maintain full stack applications using Java and Python | Build and deploy RESTful APIs and web services using Java/Tomcat | Implement and manage infrastructure as code using Terraform, CloudFormation, and Ansible | Develop and maintain CI/CD pipelines using GitLab | Collaborate with cross-functional teams in an Agile/Scrum environment","3-5 years software development, strong proficiency in Java and Python, AWS certification or extensive AWS experience","Ensure code quality, performance, and security standards","$100,000 - $130,000",True,"High","Low","Low",85,"This role is a Software Engineer position that requires strong systems and backend development skills, making the candidate a strong match due to their high proficiency in systems and full stack development.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Amazon Industrial Robotics - Applied Scientist II Intern / Co-op - 2026, Amazon Industrial Robotics","Amazon.com","North Reading, MA, US",False,"https://www.indeed.com/viewjob?jk=3d5841d82c7edaf1","indeed","""algorithm engineer"" OR ""applied scientist""","Boston, MA","Python, Java, C++, Machine Learning, Artificial Intelligence, Robotics, Computer Vision","Contribute to research in robotics and automation | Develop prototypes for robotic systems | Work on collaborative and cross-functional teams | Implement algorithms for manipulation and locomotion | Bridge theoretical advancements with practical implementations","1 year relevant academic research or industry experience, currently enrolled in a PhD program in a related field","","$30,000 - $50,000",True,"Low","Low","High",85,"This role is focused on advanced robotics and machine learning, emphasizing algorithm development and practical implementation, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions eligibility to work in the US."
"Amazon Industrial Robotics - Applied Scientist II Intern / Co-op - 2026, Amazon Industrial Robotics","Amazon.com","Westborough, MA, US",False,"https://www.indeed.com/viewjob?jk=50737f04947f9950","indeed","""algorithm engineer"" OR ""applied scientist""","Boston, MA","Python, Java, C++, Machine Learning, Artificial Intelligence, Robotics, Computer Vision","Contribute to research in robotics and automation | Develop prototypes for robotic systems | Work on collaborative and cross-functional teams | Implement algorithms for manipulation and locomotion | Bridge theoretical advancements with practical implementations","1 year relevant experience in Robotics or related field, currently enrolled in a PhD program","Successful development of system prototypes, publication in top-tier conferences","$30,000 - $50,000",True,"Low","Low","High",85,"This role is focused on advanced robotics and machine learning, emphasizing algorithm development and practical implementation, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions eligibility for full-time internship, which implies authorization to work in the US."
"Intern- Devops Engineer","Panasonic","Irvine, CA, US",False,"https://www.indeed.com/viewjob?jk=8d4323b420b4ade4","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Los Angeles, CA","AWS, Azure, Git, SVN, Gitlab, Jenkins, Travis CI","Develop reusable components and operational strategies for scalability and performance | Implement DevOps infrastructure and deployment automation | Support the building of Continuous Delivery pipelines and release management procedures | Assist with incident response, troubleshooting, and problem resolution | Build and maintain an automated DevOps delivery/deployment model","","Ensure systems are highly available, elastically scalable, fault tolerant and performant","$25 - $43",False,"High","Low","Low",85,"This role is a DevOps Intern position focused on building and supporting cloud-based solutions, which aligns well with the candidate's strong systems skills, particularly in CI/CD and cloud environments.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US, which is standard."
